inquiry_id,listing_id,listing_name,user_id
LIjx1tVT68w5,Lb7L0RPtaoCK,MyTown New York,USQX8Kxlmex0
LIQ8NX9dnv9j,Lbspik94PjrJ,Dormitory near UST,UyfJ4AchG9t7
LItekVLi4433,LbFKmFoxTE2F,"Room for Rent in Cubao, Quezon City",U96Adaov1ZHZ
LIsHToX39Reh,LbZjIsIyA2YD,BEDSPACE NEAR UP DILIMAN,U96Adaov1ZHZ
LIXkMqbSqK86,LbFQSdzdemdC,"101 XAVIERVILLE | 1BR w/ Balcony (Fully Furnished)| Ateneo, Miriam, UP",U96Adaov1ZHZ
LI0eC0LffLLJ,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UNmXH9XiBXcD
LITQMesCdIzm,LbBqY61MoxCJ,MyTown Rio,UCcq8XADkTTa
LIwIlRo0DJmi,Lbizsqtx1YE4,Bed Space for rent,Utr3NMsMPMSe
LI0umJHz0Igm,LbNw1mZWpkrC,Citihub Dormitory,Utr3NMsMPMSe
LI8AvKwN6aAC,LbdFEO7jsdiv,"Bedspace for only P 1,995!",Utr3NMsMPMSe
LITcYL1PC2kt,LbQ0X6QHiKmb,Bedspace Sta.Mesa,Utr3NMsMPMSe
LIy9DugaRs0A,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",Utr3NMsMPMSe
LI6mCwlkFeJD,Lb7L0RPtaoCK,MyTown New York,U9Lh35Px7F9g
LIN9dd8r8RxJ,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UE8IsISJTKFB
LINZax1sTNeT,LbaBI3IYegK6,MyTown Los Angeles,UsnmUUyJrFKs
LIujBzQfTJNQ,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UYiumOUh1QWX
LIdqcKUZFigK,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",Ugb4e8UXYFWU
LI4XVEykHTFg,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",Ugb4e8UXYFWU
LIz4qnWS06TT,LbBqY61MoxCJ,MyTown Rio,UTQYThqCFheH
LIIXxJRcCnOS,LbyAk88qUDIy,MyTown Athens,UfH3n14r09Im
LIcg2H9dDJhQ,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UzAFQVMLLqNr
LIeug83FK0wT,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",UvA6VMVP2dD3
LIU8dkr3rElk,LbQGS9PAUcGA,CONDO AT TAFT,UvA6VMVP2dD3
LItVlKMaSftZ,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UiqM8PIg1g8P
LIvDJ5S2NXW6,LbxBI9y1a0aR,"Condosharing in Mckinley Hills, BGC",UOBoZhDVWS8t
LIteqwpyMaxk,LbFktHeqGOv8,Fully Furnished Studio Unit with Balcony in Antel Spa Suites Makati,UyD34OR2f8Vh
LI1D5bI6hUg6,LbaBI3IYegK6,MyTown Los Angeles,UyD34OR2f8Vh
LIuLiMrCkX96,LbaBI3IYegK6,MyTown Los Angeles,USwrpDL30pQG
LIJj6bi4CPNE,LbWt3oI9m7qJ,MyTown Tokyo,USwrpDL30pQG
LIj3biB2hSik,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",Ug0GG8vHoUqt
LIIG6IckyVGh,LbnlTMPipfv4,Condo Unit at Vista Recto,UfkkbwhhTLLE
